model,phenomenon,condition,n,accuracy,yes_rate,mean_margin_yes_minus_no,median_margin_yes_minus_no,accuracy_ci_low,accuracy_ci_high
google/gemma-3-4b-it,negation,counterfactual,1500,0.814,0.186,-6.218666666666667,-9.625,0.7935155720245646,0.8328802454831614
google/gemma-3-4b-it,negation,identity_control,1500,1.0,1.0,24.70075,24.875,0.9974455692798185,1.0
google/gemma-3-4b-it,role_reversal,counterfactual,1500,0.9686666666666668,0.0313333333333333,-10.09925,-10.875,0.9585833111165424,0.9763556691550744
google/gemma-3-4b-it,role_reversal,identity_control,1500,0.9993333333333332,0.9993333333333332,24.37708333333333,25.25,0.9962333345857861,0.9998823072683256
gpt2,negation,counterfactual,1500,0.938,0.062,-0.4468096952438354,-0.4451446533203125,0.9246415810276765,0.9491207376614446
gpt2,negation,identity_control,1500,0.2186666666666666,0.2186666666666666,-0.2346239554087321,-0.2333908081054687,0.1984820857957716,0.24028854055611704
gpt2,role_reversal,counterfactual,1500,0.976,0.024,-0.5579045877456665,-0.5543136596679688,0.9669538023528023,0.982614379601585
gpt2,role_reversal,identity_control,1500,0.0393333333333333,0.0393333333333333,-0.4426679258346557,-0.4360580444335937,0.03061527748138277,0.0504048713554777
mistralai/Mistral-7B-Instruct-v0.3,negation,counterfactual,1500,0.652,0.348,-2.735671875,-3.48828125,0.627533917889101,0.675689535171964
mistralai/Mistral-7B-Instruct-v0.3,negation,identity_control,1500,1.0,1.0,20.65625520833333,20.703125,0.9974455692798185,1.0
mistralai/Mistral-7B-Instruct-v0.3,role_reversal,counterfactual,1500,0.734,0.266,-4.7607760416666665,-6.30078125,0.7110618388466748,0.7557426875762802
mistralai/Mistral-7B-Instruct-v0.3,role_reversal,identity_control,1500,1.0,1.0,19.314520833333333,19.359375,0.9974455692798185,1.0
