phenomenon,probe_name,model,layer,macro_f1,control_macro_f1,selectivity,accuracy,control_accuracy
negation,negation_probe,bert-base-uncased,0,1.0,0.4632864462061651,0.5367135537938349,1.0,0.4633333333333334
negation,negation_probe,bert-base-uncased,1,1.0,0.49521424103079925,0.5047857589692007,1.0,0.4953333333333333
negation,negation_probe,bert-base-uncased,2,1.0,0.4803544413222117,0.5196455586777883,1.0,0.4806666666666667
negation,negation_probe,bert-base-uncased,3,1.0,0.5018992769207014,0.49810072307929865,1.0,0.502
negation,negation_probe,bert-base-uncased,4,1.0,0.48430846493727636,0.5156915350627237,1.0,0.4846666666666667
negation,negation_probe,bert-base-uncased,5,1.0,0.5009413670104734,0.4990586329895265,1.0,0.5013333333333334
negation,negation_probe,bert-base-uncased,6,1.0,0.47843328883033287,0.5215667111696671,1.0,0.4786666666666667
negation,negation_probe,bert-base-uncased,7,1.0,0.4802336842713803,0.5197663157286196,1.0,0.4806666666666667
negation,negation_probe,bert-base-uncased,8,1.0,0.46708552745763987,0.5329144725423601,1.0,0.4673333333333334
negation,negation_probe,bert-base-uncased,9,1.0,0.48692067004759404,0.5130793299524059,1.0,0.4873333333333333
negation,negation_probe,bert-base-uncased,10,1.0,0.4784853451904455,0.5215146548095545,1.0,0.4786666666666667
negation,negation_probe,bert-base-uncased,11,1.0,0.49178750472937505,0.508212495270625,1.0,0.492
negation,negation_probe,bert-base-uncased,12,1.0,0.47645182515594175,0.5235481748440582,1.0,0.4766666666666667
negation,negation_probe,gpt2,0,1.0,0.4,0.6,1.0,0.4
negation,negation_probe,gpt2,1,1.0,0.4842779977166883,0.5157220022833118,1.0,0.4846666666666667
negation,negation_probe,gpt2,2,1.0,0.4854580743421522,0.5145419256578478,1.0,0.48599999999999993
negation,negation_probe,gpt2,3,1.0,0.46811766243949615,0.5318823375605038,1.0,0.4686666666666667
negation,negation_probe,gpt2,4,1.0,0.502716594804015,0.497283405195985,1.0,0.5033333333333333
negation,negation_probe,gpt2,5,1.0,0.49717668409229726,0.5028233159077027,1.0,0.49799999999999994
negation,negation_probe,gpt2,6,1.0,0.5031723022644151,0.4968276977355849,1.0,0.5033333333333333
negation,negation_probe,gpt2,7,1.0,0.5016927982143308,0.49830720178566923,1.0,0.502
negation,negation_probe,gpt2,8,1.0,0.4955925445534066,0.5044074554465935,1.0,0.496
negation,negation_probe,gpt2,9,1.0,0.49835870984275965,0.5016412901572403,1.0,0.49866666666666665
negation,negation_probe,gpt2,10,1.0,0.5223014247706184,0.47769857522938164,1.0,0.5226666666666666
negation,negation_probe,gpt2,11,1.0,0.5204670277322568,0.47953297226774316,1.0,0.5206666666666667
negation,negation_probe,gpt2,12,1.0,0.5096572312984149,0.4903427687015851,1.0,0.51
negation,negation_probe,roberta-base,0,1.0,0.46192357076208496,0.538076429237915,1.0,0.462
negation,negation_probe,roberta-base,1,1.0,0.48996919494428015,0.5100308050557198,1.0,0.49066666666666664
negation,negation_probe,roberta-base,2,1.0,0.4881635153703422,0.5118364846296578,1.0,0.48933333333333334
negation,negation_probe,roberta-base,3,1.0,0.5120458910631728,0.4879541089368272,1.0,0.5126666666666667
negation,negation_probe,roberta-base,4,1.0,0.48788613359046795,0.5121138664095322,1.0,0.488
negation,negation_probe,roberta-base,5,1.0,0.49920872623504653,0.5007912737649535,1.0,0.4993333333333333
negation,negation_probe,roberta-base,6,1.0,0.4950119186522973,0.5049880813477027,1.0,0.4953333333333333
negation,negation_probe,roberta-base,7,1.0,0.48773061566534526,0.5122693843346547,1.0,0.488
negation,negation_probe,roberta-base,8,1.0,0.49400987882789166,0.5059901211721083,1.0,0.4946666666666667
negation,negation_probe,roberta-base,9,1.0,0.49311373810155495,0.5068862618984451,1.0,0.49333333333333335
negation,negation_probe,roberta-base,10,1.0,0.47549518821325343,0.5245048117867466,1.0,0.4766666666666667
negation,negation_probe,roberta-base,11,1.0,0.487672406291949,0.5123275937080509,1.0,0.488
negation,negation_probe,roberta-base,12,1.0,0.4970282901915676,0.5029717098084324,1.0,0.49733333333333335
role_reversal,role_probe,bert-base-uncased,0,1.0,0.49722595518680307,0.502774044813197,1.0,0.499
role_reversal,role_probe,bert-base-uncased,1,1.0,0.4987757227589479,0.5012242772410521,1.0,0.49883333333333335
role_reversal,role_probe,bert-base-uncased,2,1.0,0.5029290376184479,0.49707096238155213,1.0,0.503
role_reversal,role_probe,bert-base-uncased,3,1.0,0.5024966163977668,0.49750338360223323,1.0,0.5026666666666667
role_reversal,role_probe,bert-base-uncased,4,1.0,0.5021676681965416,0.4978323318034584,1.0,0.5023333333333333
role_reversal,role_probe,bert-base-uncased,5,1.0,0.4947608279944536,0.5052391720055465,1.0,0.49483333333333335
role_reversal,role_probe,bert-base-uncased,6,1.0,0.4996612608558803,0.5003387391441196,1.0,0.4998333333333333
role_reversal,role_probe,bert-base-uncased,7,1.0,0.5048413946390445,0.49515860536095546,1.0,0.505
role_reversal,role_probe,bert-base-uncased,8,1.0,0.5012710214906025,0.49872897850939746,1.0,0.5015
role_reversal,role_probe,bert-base-uncased,9,1.0,0.5026291472242141,0.4973708527757859,1.0,0.5028333333333334
role_reversal,role_probe,bert-base-uncased,10,1.0,0.4975797553674878,0.5024202446325122,1.0,0.49783333333333335
role_reversal,role_probe,bert-base-uncased,11,1.0,0.5014012586855584,0.4985987413144416,1.0,0.5016666666666667
role_reversal,role_probe,bert-base-uncased,12,1.0,0.4993543354158786,0.5006456645841214,1.0,0.4995
role_reversal,role_probe,roberta-base,0,1.0,0.5034878064270416,0.49651219357295845,1.0,0.5041666666666667
role_reversal,role_probe,roberta-base,1,1.0,0.48770727604079955,0.5122927239592004,1.0,0.4878333333333334
role_reversal,role_probe,roberta-base,2,1.0,0.4899558724996079,0.5100441275003921,1.0,0.49000000000000005
role_reversal,role_probe,roberta-base,3,1.0,0.49958567817597305,0.5004143218240269,1.0,0.4998333333333333
role_reversal,role_probe,roberta-base,4,1.0,0.495536918746209,0.504463081253791,1.0,0.4956666666666666
role_reversal,role_probe,roberta-base,5,1.0,0.487107579448223,0.512892420551777,1.0,0.4871666666666667
role_reversal,role_probe,roberta-base,6,1.0,0.4922432260394928,0.5077567739605073,1.0,0.4923333333333334
role_reversal,role_probe,roberta-base,7,1.0,0.49127829264978146,0.5087217073502186,1.0,0.4913333333333333
role_reversal,role_probe,roberta-base,8,1.0,0.4867680562960667,0.5132319437039333,1.0,0.4868333333333334
role_reversal,role_probe,roberta-base,9,1.0,0.49717829575559574,0.5028217042444043,1.0,0.4973333333333333
role_reversal,role_probe,roberta-base,10,1.0,0.4962129740252392,0.5037870259747608,1.0,0.4963333333333333
role_reversal,role_probe,roberta-base,11,1.0,0.48788806717856714,0.512111932821433,1.0,0.488
role_reversal,role_probe,roberta-base,12,1.0,0.5002506447385209,0.49974935526147907,1.0,0.5003333333333334
