model,phenomenon,mean_delta_adj_r2,max_delta_adj_r2
bert-base-uncased,attachment,0.0018723229636289,0.0309270054288306
bert-base-uncased,negation,-0.005325931445501839,0.0056208770534517
bert-base-uncased,role_reversal,0.003274203274811431,0.0322524460921869
gpt2,attachment,-0.0034251170352207062,0.0207300609287242
gpt2,negation,0.0009475164729547844,0.0427751165107233
gpt2,role_reversal,0.00046778959868472276,0.0315922546284304
roberta-base,attachment,0.0072064190155746765,0.0456421575076545
roberta-base,negation,0.0007539934183647615,0.0317361935575555
roberta-base,role_reversal,-0.0024160374604677774,0.0265237153765922
